City,State,Temperature_F_grouped,Visibility mi group,Weather Conditions,Distance mi,Duration min,Hour of Accident,Severity
Compton,CA,51-60,6-10,Fair,0.18,126,1,2
Placentia,CA,51-60,6-10,Fair,0.04,126,23,2
Victorville,CA,51-60,6-10,Fair,0.06,129,0,2
Fort Bragg,CA,51-60,6-10,Fair,0.11,130,12,2
Johannesburg,CA,51-60,6-10,Fair,0.17,130,23,2
Menifee,CA,51-60,6-10,Fair,0.06,130,1,2
Bell Gardens,CA,51-60,6-10,Fair,0.06,131,23,2
Carson,CA,51-60,6-10,Fair,0.08,131,23,2
Carson,CA,51-60,6-10,Fair,0.24,131,22,2
Colton,CA,51-60,6-10,Fair,0.08,131,22,2
Los Angeles,CA,51-60,6-10,Fair,0.02,131,3,2
Hanford,CA,51-60,6-10,Fair,0.14,132,23,2
Potter Valley,CA,51-60,6-10,Fair,0.22,132,13,2
Granada Hills,CA,51-60,6-10,Fair,0.04,133,22,2
Oakdale,CA,51-60,6-10,Fair,0.6,133,22,2
Santa Barbara,CA,51-60,6-10,Fair,0.09,133,22,2
Chula Vista,CA,51-60,6-10,Fair,0.06,137,22,2
Santa Clarita,CA,51-60,6-10,Fair,0.01,137,5,2
Winton,CA,51-60,6-10,Fair,0.48,137,22,2
Los Angeles,CA,51-60,6-10,Fair,0.64,138,1,2
Agoura Hills,CA,51-60,6-10,Fair,0.86,139,21,2
Long Beach,CA,51-60,6-10,Fair,0.05,140,1,2
Santa Barbara,CA,51-60,6-10,Fair,0.14,142,21,2
Orange,CA,51-60,6-10,Fair,0.24,148,23,2
Los Angeles,CA,51-60,6-10,Fair,1.07,151,1,2
Ridgecrest,CA,51-60,6-10,Fair,0.15,151,23,2
Agoura Hills,CA,51-60,6-10,Fair,0.33,166,21,2
Winton,CA,51-60,6-10,Fair,0.12,178,21,2
Redlands,CA,51-60,6-10,Fair,0.12,18,21,2
Los Angeles,CA,51-60,6-10,Fair,0.9,23,0,2
Los Angeles,CA,51-60,6-10,Fair,0.98,24,23,2
El Monte,CA,51-60,6-10,Fair,1,29,22,2
Ontario,CA,51-60,6-10,Fair,0.59,29,20,2
Orange,CA,51-60,6-10,Fair,0.62,36,22,2
Vista,CA,51-60,6-10,Fair,0.08,130,22,2
Moreno Valley,CA,51-60,6-10,Fair,0.73,131,20,2
Durham,CA,51-60,6-10,Fair,0.31,132,22,2
Santa Ana,CA,51-60,6-10,Fair,0.02,132,20,2
La Puente,CA,51-60,6-10,Fair,0.23,133,21,2
Los Angeles,CA,51-60,6-10,Fair,0.02,133,20,2
Los Angeles,CA,51-60,6-10,Fair,0.89,133,21,2
Norwalk,CA,51-60,6-10,Fair,0.02,133,21,2
Compton,CA,51-60,6-10,Fair,0.03,134,20,2
Los Angeles,CA,51-60,6-10,Fair,0.04,134,1,2
Mission Viejo,CA,51-60,6-10,Fair,0.03,138,20,2
