State,Severity,Num_of_Occurrences
AZ,2,781
AZ,4,20
CA,2,14392
CA,4,14
CO,2,507
CO,4,87
CT,2,357
CT,4,13
FL,2,92
FL,4,31
GA,2,1409
GA,4,138
ID,2,30
ID,4,0
IL,2,793
IL,4,29
IN,2,198
IN,4,30
IA,2,15
IA,4,0
KS,2,142
KS,4,1
MI,2,687
MI,4,36
MN,2,659
MN,4,0
MO,2,161
MO,4,1
MT,2,104
MT,4,0
NE,2,9
NE,4,0
NV,2,99
NV,4,7
NJ,2,893
NJ,4,17
NY,2,1753
NY,4,17
NC,2,769
NC,4,124
OR,2,981
OR,4,41
PA,2,397
PA,4,48
SC,2,9
SC,4,0
TN,2,2
TN,4,0
TX,2,1377
TX,4,7
VA,2,334
VA,4,225
WA,2,361
WA,4,8
WV,2,201
WV,4,0
WI,2,219
WI,4,4
